blind_id,receipt,source_file,drive_file_id,card_type,evidence_linked,f676_surface_sha256,patched_surface_sha256,legacy_usefulness,legacy_evidence_traceability,legacy_explanation_specificity,legacy_actionability,legacy_safety_calibration,legacy_concision_scannability,legacy_composite,f676_proxy_usefulness,f676_proxy_evidence_traceability,f676_proxy_explanation_specificity,f676_proxy_actionability,f676_proxy_safety_calibration,f676_proxy_concision_scannability,f676_proxy_composite,patched_proxy_usefulness,patched_proxy_evidence_traceability,patched_proxy_explanation_specificity,patched_proxy_actionability,patched_proxy_safety_calibration,patched_proxy_concision_scannability,patched_proxy_composite,legacy_low_score_rationales,f676_score_basis,patched_score_basis,f676_paired_delta,patched_paired_delta
H011,natural,engine_card_043.json,1hfpxHSAlUfbUtGVDdVDLu2Qg9o8_GO5m,engine_card,False,6e8c04f712c20ddd65b257f72703cf25666276bc6c7d716aba9ebfc538c9667b,0f202dbce7e74705833e6307c16ea8ce274c44c418896b2256a5582ece27010a,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H012,normal,engine_card_027.json,1VBZgRwybmYpQhdDRsA_qQVC5eKt5yTvV,engine_card,False,88bd3c5d2b771ad749253dd83ee3a0d85580b7c77168abddcc03e5d5d8b849dd,30d7b79ed5d592550f0481d71dd4dd3fdd4cb8c5e5d65e66fc7451590c4cc5da,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H013,normal,engine_card_047.json,1qe1a2KFp-IxkMfdGwF_t2jnWDu2KaIIq,engine_card,False,5a3387ec0cef2a2bb8318b72c65eefa9b37b3f2db4cef32986f90172cf2cfa49,6dcc454af901eef7d9b828248c20ddd70099107fb2d57f864a64ad2f398f52de,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H014,normal,engine_card_032.json,1Bgs40BcF29jrF4fd_Dd2Y0H4c7C_Xp2C,engine_card,False,83698d48c744a3b4492002e1b218199cb1f60de09a9f1720ca803bbc00fe33a6,d546003fa8465cd1dd9497134603a0d94318dcf82ce2e8074fc2ecf481b491e7,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H015,natural,engine_card_012.json,1UBWSgS3NG9YJoNykz0Y91KvfWcy94FHl,engine_card,False,de67e4a14a0cdefca8dff20c0d2996303644c1e72c4076bc541e74d418d84459,cbf90af667a1c181fedc06ef0708910c99f4d2f286efc33244e236b143b6ee94,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H016,normal,confirmed_event_009.json,1n6Ot4sVgeq8xV38tkHdQElRS4iTHoKc7,confirmed_event,True,916d96a57bab86c90816b0af761b757047e2228ab2665521349a68fc150d3090,167220a1603b8f5dded478ea05721cfbc8e207f2afb8e9beee027fa15ebae4b4,2,3,2,1,2,3,2.15,4,3,3,3,5,4,3.7,4,4,3,4,5,4,4.05,"Usefulness=2: the frame interval and severity are visible, but no summary, drivers, or operator interpretation is supplied. | Explanation specificity=2: the reasons are repeated threshold phrases rather than incident-specific explanation. | Actionability=1: no operator action or bounded next step is present. | Safety/calibration=2: fixed 0.86 confidence and RED/AMBER severity are asserted without visible calibrated support or top drivers.",Confirmed surface: clear bounded window but no ranked drivers; first action also asks for unavailable drivers.,Linked surface: overlapping engine evidence supplies ranked drivers and raw references without changing the event.,1.55,1.9
H017,normal,engine_card_008.json,1DdR75E-vSN7ON5cXaYtFxcQFUwRjFhHT,engine_card,False,2c56a9168a4dde48c4e78dc85e956a8bbdfe89e4e72955b351c63295d1292007,9052fb50aaabb1963303299ad946f8a93f0c284ddcfd0b8632d7548fb26c6925,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H018,natural,engine_card_046.json,1DVUTiSMchD_Y-GfGOP6FHJsGl3BJfV29,engine_card,False,4c727221857b54c7372d1dad267ff8b8a88fce6bb492bd0f185191d307abe00e,f54443982f37e6e6069a3c2f08e729f3176f98851e06ff963ce64a95467bbc16,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H019,normal,engine_card_036.json,1KRPvd5RjKhPTcqj-B7CbYIps7EWYyzKx,engine_card,False,012a184b9e4bd1e38ba060282598ba856f244acfe0bac15b3d362bbfb68d1dbd,1ca40eea5f2e61536531c071601226ba0b2b30d817871b678c7bbcbe7e05800f,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H020,normal,confirmed_event_003.json,1bm7-a48i2__toBSkPitUeqdceCP0tOBk,confirmed_event,True,b98bad5146d65c5786de53445c2b50918910f8fc530290c9b240582803f8894b,10cefb278ed8334963fe8a783ff5c8a39ae2395bb224b4b00c7c8b0e04b86388,2,3,2,1,2,4,2.25,4,3,3,3,5,4,3.7,4,4,3,4,5,4,4.05,"Usefulness=2: the frame interval and severity are visible, but no summary, drivers, or operator interpretation is supplied. | Explanation specificity=2: the reasons are repeated threshold phrases rather than incident-specific explanation. | Actionability=1: no operator action or bounded next step is present. | Safety/calibration=2: fixed 0.86 confidence and RED/AMBER severity are asserted without visible calibrated support or top drivers.",Confirmed surface: clear bounded window but no ranked drivers; first action also asks for unavailable drivers.,Linked surface: overlapping engine evidence supplies ranked drivers and raw references without changing the event.,1.45,1.8
H021,normal,engine_card_040.json,11piOSNcTHmxsiKDr3bBIf3ZpR5B1bl24,engine_card,False,a8c35778659dbe26a55904a2a6f76cf0cfdb8075c4ca7908e0831ffb1307d739,8a71a676490e29091cb563a6909f847bb3fcb825143f2427d6075e98e84b6e50,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H022,natural,engine_card_035.json,1re1N1wXiM1ZQlqDIIwvxWoX0a2SNPiNj,engine_card,False,31d77b8af836e1fd1df696fb20c6cdb784d4b8a16cfc4ad201602fdaf5fc7cbb,5695e608ac6e6486fb4e05ab604ee3ce62508f983c982df7a7e8621e31d109b0,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H023,normal,engine_card_064.json,1nvegd0DPBA8i-dg8w7eI9qW0PAfkjJPR,engine_card,False,4230423fcb472a3740cc70512a2787468bcf8bfef31bb1c5e63356b38e47f753,384393c5e919c106a25782f39638e84c3c349d828b9b1656df3ec54ac5dcb4b6,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H024,natural,engine_card_038.json,1uudxWR4uKG_w83-Or5xhqpfwjriZniIp,engine_card,False,e5b24c1434e342bac3bcab83105f2f2869578e2f8d05ff13e3294f7729f3d726,36482d8ccd72d2ef1d9eb2ec7dd2b805ecb18a374c2db44752ffdd39c5fd990a,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H025,natural,engine_card_049.json,1MLfY-zeGylpzqQ8Aoqnf9aOwjd-FGyuU,engine_card,False,7b7850d7666beaf01d2b257cfefad057ef2617f328b84f8553ff47d4ed1f7ab5,227ebc9048e411524aea10f6c3ce6f22f356dd3511d710d0fd7bcdcc798a307e,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H026,normal,engine_card_012.json,14A79t8NWAuetfhoa0iVqiIRUuqvtM1Rd,engine_card,False,659eaf2ad6cc6f0bc1af441f41c716b34b1b27848bd5a7f36757e277d26dbdb7,9f1db41db3527712dd67d90804ffcb1bed3b4f65a1803f8e2fca3e1858ce951d,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H027,normal,engine_card_049.json,1Mur3h4g_qWq1F-jt2L9j3lfd0d6CIIl5,engine_card,False,87266d27f7749b6af9c537d98970f0a157a733fcf08767eb1b1b6aadee76357d,ec57de0a616eff6cc15ff7a300f5b9a3d8118bae3175af0b157c73c14b466b80,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H028,normal,engine_card_016.json,1vT3bJcZq6NyLHcqfjn9_-1_qPX26fHmn,engine_card,False,dc6d8889e20436d054ce543bd879d623c9ae69295d37727095dcc6bb728e5a95,db481ef9158fc619ead989fadb0c57a0051413384c70b4983c98ac439b910525,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H029,normal,engine_card_014.json,1G3JDTE4PLdmUS2ZLchKNUl6gqeFdbFCg,engine_card,False,ec81ff69fe601057460686488274e7b371a36a047ee79c08c4c3044cbe13de2a,ae862dc075f91a700083461f522579dff73626fbf1b4f7d446a560251194fe2a,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H030,normal,engine_card_026.json,1AGxvhNuItjnk31Slqfg9rUJCXsLI9cyF,engine_card,False,7684fed9dc5b92c529dd33112e93c30ec0e6cf41ebc9963a080382d0baac6852,823303221e8673e302d61e84bf76e44687d968db60b92dab85f673feddc78573,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H031,natural,engine_card_014.json,1CMz4cPXI0K4e_zPfkg1ZcfLe2ZcNEWEB,engine_card,False,58a831465527905c49e45a3b42039e0d97368ca7699b05a8628bc9829612d8f3,05b745a65686cfdabb00c5efb2417bc58ffbc077702562359b2e98bf5c0f4c70,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
H032,natural,engine_card_010.json,1ihumfJwBG7SuFgSjreR6xxFBBdsyIntA,engine_card,False,0ad930f055d7e161271a5871262bc6c799ea59ff8f647b09f8eed43b74720491,c5161e1f798d72522bb91295b14a4f388a160aeae80483b7963c1986a4f9f959,3,4,2,3,2,2,2.75,4,4,3,4,5,4,4.05,4,4,3,4,5,4,4.05,"Explanation specificity=2: summary, hypotheses, and actions are template-like; projected feature names are not translated into incident meaning. | Safety/calibration=2: 0.85 card confidence and 1.0 hypothesis confidence coexist with an unknown zero-confidence forecast, while severity is not visibly reconciled to the displayed z-score. | Concision=2: the card repeats three full similar-episode payloads and low-level numeric fields without a scannable operator summary.",Engine surface: traceable values and bounded actions; projected components remain opaque and prose remains templated.,Engine surface unchanged in rubric-relevant structure.,1.3,1.3
